result_grades_id;result_grades_school_id;result_grades_school_year_id;result_grades_semester;result_grades_group_id;result_grades_student_id;result_grades_value_type;result_grades_source_id;result_grades_source_title;result_grades_teacher_id;result_grades_subject_id;result_grades_original_value;result_grades_adjust_value;result_grades_created_at;result_grades_updated_at
2515810;1;3;1;3;41;1;25;Latihan 1 bind;19;1;55;55;2025-09-01 21:03:09;2025-09-01 21:03:09
2515811;1;3;1;3;42;1;25;Latihan 1 bind;19;1;100;100;2025-09-01 21:03:08;2025-09-01 21:03:08
2515812;1;3;1;3;43;1;25;Latihan 1 bind;19;1;96;96;2025-09-01 21:03:08;2025-09-01 21:03:08
2515813;1;3;1;3;44;1;25;Latihan 1 bind;19;1;100;100;2025-09-01 21:03:09;2025-09-01 21:03:09
2515814;1;3;1;3;45;1;25;Latihan 1 bind;19;1;92;92;2025-09-01 21:03:09;2025-09-01 21:03:09
2515815;1;3;1;3;46;1;25;Latihan 1 bind;19;1;68;68;2025-09-01 21:03:09;2025-09-01 21:03:09
2515816;1;3;1;3;47;1;25;Latihan 1 bind;19;1;84;84;2025-09-01 21:03:09;2025-09-01 21:03:09
2515817;1;3;1;3;48;1;25;Latihan 1 bind;19;1;88;88;2025-09-01 21:03:09;2025-09-01 21:03:09
2515818;1;3;1;3;49;1;25;Latihan 1 bind;19;1;92;92;2025-09-01 21:03:09;2025-09-01 21:03:09
2515819;1;3;1;3;50;1;25;Latihan 1 bind;19;1;93;93;2025-09-01 21:03:09;2025-09-01 21:03:09
2515820;1;3;1;3;51;1;25;Latihan 1 bind;19;1;98;98;2025-09-01 21:03:09;2025-09-01 21:03:09
2515821;1;3;1;3;52;1;25;Latihan 1 bind;19;1;69;69;2025-09-01 21:03:09;2025-09-01 21:03:09
2515822;1;3;1;3;53;1;25;Latihan 1 bind;19;1;78;78;2025-09-01 21:03:09;2025-09-01 21:03:09
2515823;1;3;1;3;54;1;25;Latihan 1 bind;19;1;96;96;2025-09-01 21:03:09;2025-09-01 21:03:09
2515824;1;3;1;3;55;1;25;Latihan 1 bind;19;1;72;72;2025-09-01 21:03:09;2025-09-01 21:03:09
